"Tipo de elección.","Año del proceso electoral.","Mes del proceso electoral.","Número de vuelta (en procesos a una sola vuelta = 1)","Código de la Comunidad Autónoma o 99 si se trata del Total Nacional del C.E.R.A.","Código I.N.E. de la provincia o 99 si se trata del Total Nacional o Autonómico del C.E.R.A.","Municipio","Número de distrito municipal en su caso o 01 si el municipio no tiene distritos (distrito único). En el caso de datos procedentes del C.E.R.A., llevará el número del ‘Distrito Electoral’ a que correspondan o 09 si el ámbito de dicho distrito coincide con el de la provincia.","Colegio","Código de la mesa (una letra mayúscula identificando la mesa o una ‘U’ en caso de mesa única).","Siglas.","Votos obtenidos por la candidatura o el Senador."
07,2004,06,1,01,18,GRANADA,01,,B,A-IZ-PSA-ED                                       ,0000000
07,2004,06,1,01,18,GRANADA,01,,B,CUP                                               ,0000000
07,2004,06,1,01,18,GRANADA,01,,B,PASOC                                             ,0000000
07,2004,06,1,01,18,GRANADA,01,,A,PCPE-LI (LI                                       ,0000000
07,2004,06,1,01,18,GRANADA,01,,C,NOS-UP                                            ,0000000
07,2004,06,1,01,18,GRANADA,01,,C,PFYV                                              ,0000001
07,2004,06,1,01,18,GRANADA,01,,A,A-IZ-PSA-ED                                       ,0000000
07,2004,06,1,01,18,GRANADA,01,,A,LV-GV                                             ,0000002
07,2004,06,1,01,18,GRANADA,01,,B,GALEUSCA                                          ,0000000
07,2004,06,1,01,18,GRANADA,01,,B,PSOE                                              ,0000103
07,2004,06,1,01,18,GRANADA,01,,B,NOS-UP                                            ,0000000
07,2004,06,1,01,18,GRANADA,01,,B,DN                                                ,0000000
07,2004,06,1,01,18,GRANADA,01,,U,CUP                                               ,0000000
07,2004,06,1,01,18,GRANADA,01,,U,A-IZ-PSA-ED                                       ,0000000
07,2004,06,1,01,18,GRANADA,01,,U,PCPE-LI (LI                                       ,0000000
07,2004,06,1,01,18,GRANADA,01,,U,C.D.S.                                            ,0000000
07,2004,06,1,01,18,GRANADA,01,,U,POSI                                              ,0000000
07,2004,06,1,01,18,GRANADA,01,,U,PUM+J                                             ,0000000
07,2004,06,1,01,18,GRANADA,01,,U,PASOC                                             ,0000000
07,2004,06,1,01,18,GRANADA,01,,U,POSI                                              ,0000000
07,2004,06,1,01,18,GRANADA,01,,U,P.CANNABIS                                        ,0000001
07,2004,06,1,01,18,GRANADA,01,,A,PSOE                                              ,0000070
07,2004,06,1,01,18,GRANADA,01,,A,FA                                                ,0000000
07,2004,06,1,01,18,GRANADA,01,,A,CL                                                ,0000000
07,2004,06,1,01,18,GRANADA,01,,U,PASOC                                             ,0000000
07,2004,06,1,01,18,GRANADA,01,,U,POSI                                              ,0000000
07,2004,06,1,01,18,GRANADA,01,,A,IULV-CA                                           ,0000001
07,2004,06,1,01,18,GRANADA,01,,A,TC-PNC                                            ,0000000
07,2004,06,1,01,18,GRANADA,01,,A,EC                                                ,0000000
07,2004,06,1,01,18,GRANADA,01,,B,N.I.V.                                            ,0000000
07,2004,06,1,01,18,GRANADA,01,,B,IULV-CA                                           ,0000009
07,2004,06,1,01,18,GRANADA,01,,B,DN                                                ,0000000
07,2004,06,1,01,18,GRANADA,01,,A,IULV-CA                                           ,0000011
07,2004,06,1,01,18,GRANADA,01,,A,PASOC                                             ,0000000
07,2004,06,1,01,18,GRANADA,01,,A,PFYV                                              ,0000000
07,2004,06,1,01,18,GRANADA,01,,B,TC-PNC                                            ,0000000
07,2004,06,1,01,18,GRANADA,01,,B,FE                                                ,0000000
07,2004,06,1,01,18,GRANADA,01,,B,FE DE LAS J                                       ,0000000
07,2004,06,1,01,18,GRANADA,01,,B,FA                                                ,0000000
07,2004,06,1,01,18,GRANADA,01,,U,A-IZ-PSA-ED                                       ,0000000
07,2004,06,1,01,18,GRANADA,01,,U,PFYV                                              ,0000001
07,2004,06,1,01,18,GRANADA,01,,A,ARALAR                                            ,0000000
07,2004,06,1,01,18,GRANADA,01,,A,LOS PARADOS                                       ,0000000
07,2004,06,1,01,18,GRANADA,01,,B,N.I.V.                                            ,0000000
07,2004,06,1,01,18,GRANADA,01,,B,PSOE                                              ,0000073
07,2004,06,1,01,18,GRANADA,01,,B,PUM+J                                             ,0000000
07,2004,06,1,01,18,GRANADA,01,,B,PADE                                              ,0000000
07,2004,06,1,01,18,GRANADA,01,,U,CUP                                               ,0000000
07,2004,06,1,01,18,GRANADA,01,,U,POSI                                              ,0000000
07,2004,06,1,01,18,GRANADA,01,,U,P.CANNABIS                                        ,0000000
07,2004,06,1,01,18,GRANADA,01,,A,PFYV                                              ,0000000
07,2004,06,1,01,18,GRANADA,01,,A,PADE                                              ,0000000
07,2004,06,1,01,18,GRANADA,01,,B,GALEUSCA                                          ,0000000
07,2004,06,1,01,18,GRANADA,01,,B,PA                                                ,0000000
07,2004,06,1,01,18,GRANADA,01,,C,LV-GV                                             ,0000000
07,2004,06,1,01,18,GRANADA,01,,C,DN                                                ,0000000
07,2004,06,1,01,18,GRANADA,01,,A,PH                                                ,0000000
07,2004,06,1,01,18,GRANADA,01,,A,PASOC                                             ,0000000
07,2004,06,1,01,18,GRANADA,01,,B,PA                                                ,0000000
07,2004,06,1,01,18,GRANADA,01,,A,A-IZ-PSA-ED                                       ,0000003
07,2004,06,1,01,18,GRANADA,01,,A,FA                                                ,0000000
07,2004,06,1,01,18,GRANADA,01,,A,DN                                                ,0000000
07,2004,06,1,01,18,GRANADA,01,,A,P.CANNABIS                                        ,0000003
07,2004,06,1,01,18,GRANADA,01,,B,ARALAR                                            ,0000000
07,2004,06,1,01,18,GRANADA,01,,B,PUM+J                                             ,0000000
07,2004,06,1,01,18,GRANADA,01,,B,CL                                                ,0000000
07,2004,06,1,01,18,GRANADA,01,,U,CL                                                ,0000000
07,2004,06,1,01,18,GRANADA,01,,U,PUM+J                                             ,0000000
07,2004,06,1,01,18,GRANADA,01,,A,IULV-CA                                           ,0000010
07,2004,06,1,01,18,GRANADA,01,,A,PA                                                ,0000002
07,2004,06,1,01,18,GRANADA,01,,A,PC                                                ,0000000
07,2004,06,1,01,18,GRANADA,01,,B,PP                                                ,0000258
07,2004,06,1,01,18,GRANADA,01,,U,PFYV                                              ,0000000
07,2004,06,1,01,18,GRANADA,01,,A,CUP                                               ,0000000
07,2004,06,1,01,18,GRANADA,01,,B,CUP                                               ,0000000
07,2004,06,1,01,18,GRANADA,01,,A,PCPE-LI (LI                                       ,0000000
07,2004,06,1,01,18,GRANADA,01,,A,C.D.S.                                            ,0000000
07,2004,06,1,01,18,GRANADA,01,,A,TC-PNC                                            ,0000000
07,2004,06,1,01,18,GRANADA,01,,B,IULV-CA                                           ,0000032
07,2004,06,1,01,18,GRANADA,01,,B,TC-PNC                                            ,0000000
07,2004,06,1,01,18,GRANADA,01,,U,ARALAR                                            ,0000000
07,2004,06,1,01,18,GRANADA,01,,U,UCL                                               ,0000000
