"Tipo de elección.","Año del proceso electoral.","Mes del proceso electoral.","Número de vuelta (en procesos a una sola vuelta = 1) o Número de pregunta en Referéndum.","Código de la Comunidad Autónoma o 99 si se trata del Total Nacional del C.E.R.A.","Código I.N.E. de la provincia o 99 si se trata del Total Nacional o Autonómico del C.E.R.A.","Municipio","Código de la sección (tres dígitos seguidos de un espacio, letra mayúscula u otro dígito).","Código de la mesa (una letra mayúscula identificando la mesa o una ‘U’ en caso de mesa única).","Censo del I.N.E.","Censo de escrutinio o censo C.E.R.A.","Censo C.E.R.E. en escrutinio (Residentes Extranjeros).","Total votantes C.E.R.E. (Residentes Extranjeros).","Votantes del primer avance de participación.","Votantes del segundo avance de participación.","Votos en blanco.","Votos nulos.","Votos a candidaturas.","Votos afirmativos en Referéndum o ceros en otros procesos electorales.","Votos negativos en Referéndum o ceros en otros procesos electorales.","Datos oficiales (Si/No)."
07,1994,06,1,01,18,GRANADA,02,039 ,U,0000881,0000881,0000000,0000000,0000343,0000395,0000008,0000002,0000590,0000000,0000000,N
07,1994,06,1,01,18,GRANADA,03,003 ,A,0000801,0000801,0000000,0000000,0000403,0000516,0000006,0000002,0000597,0000000,0000000,N
07,1994,06,1,01,18,GRANADA,03,010 ,U,0001356,0001356,0000000,0000000,0000488,0000642,0000015,0000002,0000845,0000000,0000000,N
07,1994,06,1,01,18,GRANADA,04,003 ,U,0000768,0000768,0000000,0000000,0000324,0000380,0000010,0000001,0000448,0000000,0000000,N
07,1994,06,1,01,18,GRANADA,06,007 ,U,0001338,0001338,0000000,0000000,0000580,0000775,0000009,0000000,0000942,0000000,0000000,N
07,1994,06,1,01,18,GRANADA,07,004 ,U,0000882,0000882,0000000,0000000,0000410,0000539,0000004,0000000,0000643,0000000,0000000,N
07,1994,06,1,01,18,GRANADA,07,026 ,B,0000809,0000809,0000000,0000000,0000300,0000384,0000008,0000002,0000499,0000000,0000000,N
07,1994,06,1,01,18,BENALÚA DE LAS VILLAS,01,001 ,U,0001145,0001145,0000000,0000000,0000451,0000705,0000004,0000003,0000938,0000000,0000000,N
07,1994,06,1,01,18,CAMPOTÉJAR,01,001 ,U,0001141,0001141,0000000,0000000,0000401,0000638,0000006,0000005,0000914,0000000,0000000,N
07,1994,06,1,01,18,CANILES,01,001 ,U,0000863,0000863,0000000,0000000,0000267,0000421,0000002,0000004,0000558,0000000,0000000,N
07,1994,06,1,01,18,CASTRIL,01,001 ,U,0000834,0000834,0000000,0000000,0000286,0000391,0000005,0000005,0000519,0000000,0000000,N
07,1994,06,1,01,18,CHAUCHINA,01,001 ,A,0000727,0000727,0000000,0000000,0000315,0000418,0000003,0000003,0000539,0000000,0000000,N
07,1994,06,1,01,18,GÓJAR,01,001 ,A,0001051,0001051,0000000,0000000,0000440,0000575,0000009,0000002,0000709,0000000,0000000,N
